CO_CNES,PA_CODUNI,count,sum,"Lat, Long",NO_FANTASIA,NU_LATITUDE,NU_LONGITUDE,NO_LOGRADOURO,NU_ENDERECO,NO_BAIRRO,NO_COMPLEMENTO,CO_CEP,HR_INICIO_ATENDIMENTO,HR_FIM_ATENDIMENTO,TURNO_ATENDIMENTO,MOTIVO_DESATIVACAO,_c13
8982,8982,2,51.66,"-23.1865567,-45.887722",UES UNIDADE DE ESPECIALIDADES DE SAUDE,-23179,-45887,AVENIDA MADRE TEREZA,449,CENTRO,null,12210050,07:00,17:00,03 - ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE, - ,0
9156,9156,2,0.0,"-23.2107983,-45.8853206",UBS VILA NAIR,-232112012,-458854831,RUA SUECIA,50,VILA LETONIA,null,12231180,07:00,18:00,03 - ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE, - ,0
9318,9318,9,744.0,"-23.2363716,-45.9093064",LABORATORIO CENTRAL,-232369522,-459091803319482,PRACA NATAL,57,PARQUE INDUSTRIAL,null,12235621,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
9350,9350,3,28.5,"-23.186228,-45.8834367",GUACELLI,-23179,-45887,RUA VILACA,689,CENTRO,null,12210000,07:30,12:00,03 - ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE, - ,1
9709,9709,4,89.71,"-20.4975506,-54.6161572",EBSERH HOSP UNIV MARIA APARECIDA PEDROSSIAN,-20499085,-54616465,SENADOR FILINTO MULLER,355,VILA IPIRANGA,null,79080190,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
9962,9962,2,48.0,"-20.4617952,-54.6128338",LABORATORIO DE ANATOMIA PATOLOGIA E CITOLOGIA DE CG APC,-20461403,-54612850,BARAO DO RIO BRANCO,1659,VILA CIDADE,null,79002174,08:00,11:00,03 - ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE, - ,1
10030,10030,4,96.0,"-20.4528759,-54.6136746",HISTOLAB MS,-204527796,-546138989,PEDRO CELESTINO,2320,VILA ALTA,null,79002372,07:00,18:30,03 - ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE, - ,1
10049,10049,159,1749.0,"-20.4315655,-54.6007957",UPA DR WALFRIDO ARRUDA CORONEL ANTONINO,"-2,04314441304981E+016",-5460084646940230,RUA DOUTOR MEIRELES,1239,CORONEL ANTONINO,null,79011060,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
10057,10057,134,1446.88,"-20.5311977,-54.6169439",UPA APARECIDA GONCALVES SARAIVA UNIVERSITARIO,-2052535142482650,"-5,45984458923339E+016",AVENIDA GUAICURUS,3757,UNIVERSITARIO,null,79063500,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
10073,10073,134,1464.47,"-20.4803235,-54.57997",CRS DR ANTONIO PEREIRA TIRADENTES,-20480853,-54580716,RUA JOSE NOGUEIRA VIEIRA,337,TIRADENTES,null,79042010,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
10081,10081,249,2758.8199999999997,"-20.4398055,-54.6569967",UPA DR ALESSANDRO MARTINS DE SOUZA E SILVA VILA ALMEIDA,-2044004248030070,-5465764760971060,RUA MINISTRO JOSE LINHARES,1079,VILA ALMEIDA,null,79112190,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
10103,10103,87,946.7600000000002,"-20.4102046,-54.572331",CRS DR GUINTER HANS NOVA BAHIA,-2041045017410990,"-5,45724874734878E+016",AVENIDA NOSSO SENHOR DO BONFIM,44,NOVA BAHIA,null,79034000,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
10111,10111,44,491.35,"-20.5357876,-54.6708243",CRS DR WALDECK FLETNER DE CASTRO MAIA COOPHAVILA II,-20535867,-54670880,RUA DA PENINSULA,621,COOPHAVILLA II,null,79097150,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
10243,10243,30,332.94,"-20.5225029,-54.6490883",CRS DR JOAO PEREIRA DA ROSA JARDIM AERO RANCHO,-20522535,-54649161,AVENIDA RACHEL DE QUEIROZ,995,CONJUNTO AERO RANCHO,null,79083180,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
10405,10405,2,36.58,"-20.4104693,-54.572619",CEDIP SAE SERVICO AMBULATORIAL ESPECIALIZADO,"-2,04107266935816E+016",-5457212269306180,AVENIDA NOSSO SENHOR DO BONFIM,26,NOVOS ESTADOS,null,79034000,06:00,18:00,03 - ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE, - ,1
10456,10456,3,39.85,"-15.8007524,-47.8890577",INSTITUTO HOSPITAL DE BASE DO DISTRITO FEDERAL,-15800653,-47888283,SMHS QUADRA 101 AREA ESPECIAL,1,ASA SUL,null,70335900,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
10499,10499,1,24.0,"-15.8238197,-48.0656824",HRT HOSPITAL REGIONAL DE TAGUATINGA,"-1,58228202534791E+016","-4,80687797069549E+016",SETOR C NORTE,24,TAGUATINGA,AREA ESPECIAL,72120970,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
10510,10510,4,101.49,"-15.7618813,-47.8773542",HOSPITAL UNIVERSITARIO DE BRASILIA,"-1,57717596444331E+016",-4787372410297390,L2 NORTE,S/N,ASA NORTE,null,70840901,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
11738,11738,6,2374.77,"-20.2971205,-40.3175493",HOSPITAL SANTA RITA DE CASSIA VITORIA,-20319,-40338,AVENIDA MARECHAL CAMPOS,1579,SANTA CECILIA,null,29043260,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
11746,11746,1,24.0,"-20.3203983,-40.343697",HOSPITAL SANTA CASA DE VITORIA,-203205429,-403469302,RUA DR JOAO SANTOS NEVES,143,VILA RUBIM,null,29018180,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
11800,11800,29,292.0,"-20.3078634,-40.2976784",HOSPITAL INFANTIL NOSSA SENHORA DA GLORIA,-20319,-40338,MARY UBIRAJARA,205,SANTA LUCIA,null,29027080,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
11819,11819,1,32.4,"-20.3126253,-40.3119862",HOSPITAL SAO LUCAS,null,null,JAIR ETIENNE DESSAUNE,230,MONTE BELO,PAVMTO 01,29053325,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",08 - AUTOMATICAMENTE POR NAO ATUALIZACAO SUPERIOR A 6 MESES,0
11924,11924,1,32.4,"-20.2601486,-40.2950499",UNIDADE BASICA DE SAUDE JABOUR DR CARLITO VON SCHILGEN,-202602294218116,"-4,02947616577148E+016",RUA ENGENHEIRO CESAR DANTAS,S/N,JABOUR,null,29072265,07:00,19:00,03 - ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE, - ,0
12505,12505,1,383.07,"-22.8955478,-43.1122433",HOSPITAL UNIVERSITARIO ANTONIO PEDRO,-22895554,-43111586,RUA MARQUES DO PARANA,303,CENTRO,null,24033900,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
13102,13102,1,0.0,"-24.6568367,-48.9920931",CENTRO DE SAUDE OLIMPIO GONCALVES DOS SANTOS,"-2,46567681587315E+016","-4,89921569824218E+016",RUA BENEDITO BATISTA DIAS,25,CENTRO,null,83490000,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
15466,15466,36,360.0,"-25.4329568,-49.2718141",CENTRO DE ESPECIALIDADES MEDICAS MATRIZ,"-2,54329568075516E+016",-4927181410000000,RUA DR MURICY,498,CENTRO,null,80010120,07:00,19:00,03 - ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE, - ,0
15539,15539,1,24.0,"-25.4290797,-49.2474391",FUNDACAO PRO HANSEN,-2542886611937580,"-4,92467213900741E+016",RUA FERNANDO AMARO,1116,CRISTO REI,null,80045380,07:30,18:00,03 - ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE, - ,0
15563,15563,80,602.0,"-25.4442761,-49.2763004",HOSPITAL INFANTIL PEQUENO PRINCIPE,"-2,54439116135648E+016","-4,9276393353939E+016",DESEMBARGADOR MOTTA,1070,AGUA VERDE,null,80250060,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
15938,15938,1,37.95,"-25.4229603,-49.2439362",CENTRO PARANAENSE DE DIAGNOSTICO ECOGRAFICO GUIDO A V P,"-2,54229736075483E+016","-4,92439269999999E+016",RUA ITUPAVA,1665,ALTO DA XV,CASA,80045305,07:00,17:00,03 - ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE, - ,0
16713,16713,4,0.0,"-25.480256,-49.3367166",UMS SAO MIGUEL,-254802283,-493367897,RUA DESEMBARGADOR CID CAMPELO,8060,CIC,null,81250510,07:00,19:00,03 - ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE, - ,0
16721,16721,1,0.0,"-25.4750065,-49.3434263",UMS TANCREDO NEVES,-254750352,-493436982,RUA PRFA HILDA HANKE GONCALVES,435,CIC,null,81240110,07:00,19:00,"04 - ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE", - ,0
16985,16985,2,0.0,"-25.584419,-49.3195723",UMS DOM BOSCO PSF,-255814567,-493366679,RUA ANGELO TOZIN,100,CAMPO SANTANA,null,81480170,07:00,17:00,03 - ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE, - ,0
17043,17043,1,0.0,"-25.4520125,-49.2058933",UMS TRINDADE PSF,-25451814,-49205963,RUA RORAIMA,1790,CAJURU,null,82920420,07:00,19:00,"04 - ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE", - ,0
17051,17051,1,25.83,"-25.477246,-49.1961641",UMS SOLITUDE PSF,-254771712,-491961121,RUA ISAIAS FERREIRA DA SILVA,150,CAJURU,null,82980200,07:00,19:00,"04 - ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE", - ,0
17191,17191,2,32.4,"-25.532022,-49.2509978",UMS ERICO VERISSIMO PSF,-255320517,-492508367,RUA EXP FRANCISCO PEREIRA DOS SANTOS,510,ALTO BOQUEIRAO,null,81850280,07:00,19:00,"04 - ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE", - ,1
17264,17264,1,0.0,"-25.5291195,-49.2950954",UMS NOSSA SENHORA DO SAGRADO CORACAO,-255294324,-492953248,RUA ANTONIO CLAUDINO,375,PINHEIRINHO,null,81870020,07:00,19:00,"04 - ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE", - ,0
17280,17280,2,0.0,"-25.5270834,-49.2707969999999",UMS MARIA ANGELICA PSF,-255270634,-49270812,RUA JULIO TEODORICO GUIMARAES,337,PINHEIRINHO,null,81825150,07:00,19:00,"04 - ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE", - ,0
17302,17302,1,0.0,"-25.5117221,-49.3285245",UMS OSWALDO CRUZ PSF,-255115557,-493284098,RUA PEDRO GUSSO,S/N,CIDADE INDUSTRIAL,null,81315000,07:00,19:00,"04 - ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE", - ,0
17310,17310,1,0.0,"-25.5631789,-49.3136166",UMS POMPEIA PSF,-2556308285877330,-4931806951761240,RUA JOAO BATISTA BETTEGA,S/N,TATUQUARA,null,81480020,07:00,17:00,03 - ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE, - ,0
17345,17345,1,0.0,"-25.5421811,-49.3160126",UMS VILA VERDE PSF,-255421762,-493182013,RUA EMILIO ROMANI,200,CIDADE INDUSTRIAL,null,81450060,07:00,19:00,"04 - ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE", - ,0
17353,17353,1,0.0,"-25.5608252,-49.3365072",UMS MORADIAS SANTA RITA PSF,-255662427,-493334118,RUA ADRIANA CERES ZAGO BUENO,743,TATUQUARA,null,81470030,07:00,17:00,"04 - ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE", - ,0
17388,17388,1,0.0,"-25.515822,-49.328902",UMS TAIZ VIVIANE MACHADO PSF,-255158171,-493310907,RUA GASTAO NATAL SIMONE,5,CIDADE INDUSTRIAL,null,81170320,07:00,19:00,"04 - ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE", - ,0
17396,17396,21,342.47,"-25.385963,-49.233154",UPA BOA VISTA,-253857065,-492328771,AVN PARANA,3654,BOA VISTA,null,82510000,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
17485,17485,1,0.0,"-25.3878737,-49.2832948",UMS PILARZINHO PSF,-253878474,-4928323678947840,RUA AMAURI LANGE SILVERIO,1251,PILARZINHO,null,82120000,07:00,19:00,"04 - ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE", - ,0
17507,17507,2,0.0,"-25.363943,-49.262943",UMS BARREIRINHA,-253638266,-492629814,RUA SANTA GEMA GALGANI,353,BARREIRINHA,null,82220170,07:00,19:00,"04 - ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE", - ,0
17515,17515,1,32.4,"-25.4007554,-49.2395827",UMS BACACHERI,-254008599,-492395071,AVN ERASTO GAERTNER,797,BACACHERI,null,82515000,07:00,19:00,"04 - ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE", - ,0
17531,17531,3,0.0,"-25.380033,-49.2458587",UMS ABAETE,-253800412,-49245868,RUA DELEGADO MIGUEL ZACARIAS,403,BOA VISTA,null,82650090,07:00,19:00,"04 - ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE", - ,0
18112,18112,2,37.1,"-25.4326192,-49.1869899999999",IDC LABORATORIOS INSTITUTO DE DIAGNOSTICO CLINILABOR,"-2,54325007879146E+016",-4918673515319820,RODOVIA JOAO LEOPOLDO JACOMEL,12066,JD GUAIRACA,PROX MACDONALD,83331330,08:00,18:00,03 - ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE, - ,1
18694,18694,2,0.0,"-26.1008365,-49.8153258",HOSPITAL BOM JESUS,-26101321,-4979941,RUA CAPITAO JOAO BLEY,604,CENTRO,null,83880000,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
19259,19259,1,25.83,"-27.5906932,-48.5799072",POLICLINICA MUNICIPAL CONTINENTE,-27590766,-48579855,RUA HEITOR BLUM,521,ESTREITO,null,88070450,07:00,19:00,03 - ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE, - ,0
20052,20052,1,144.0,"-27.592478,-48.5521998",CELLULA PATOLOGIA DIAGNOSTICA,-27592469,-48552205,RUA DOM JAIME CAMARA,66,CENTRO,SALA 403,88015120,08:00,18:00,03 - ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE, - ,0
21768,21768,30,864.0,"-20.4524227,-54.6093026",SCREENLAB LABORATORIO DE CITOLOGIA E PATOLOGIA CIRURGICA SS,-204524106,-546092178,13 DE JUNHO,1533,VILA ILGENFRITZ,null,79010200,07:00,18:00,03 - ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE, - ,0
21784,21784,2,46.32,"-20.4472431,-54.619492",CEM CENTRO ESPECIALIZADO MUNICIPAL PRES JANIO QUADROS,-2044751694847910,-5461953341960900,TRAVESSA GUIA LOPES,71,SAO FRANCISCO,null,79002334,13:00,17:00,03 - ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE, - ,1
23051,23051,7,55.0,"-19.8664832,-43.9254727",UNIDADE DE PRONTO ATENDIMENTO NORDESTE,-198672473,-439254013,RUA JOAQUIM GOUVEIA,560,SAO PAULO,null,31910040,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
23582,23582,37,198.0,"-19.8201957,-43.9532894",UNIDADE DE PRONTO ATENDIMENTO VENDA NOVA,-198033279,-439897132,RUA PADRE PEDRO PINTO,175,SAO JOAO BATISTA,null,31515000,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
26719,26719,1,10.0,"-19.9289945,-43.9452062",CENTRO OFTALMOLOGICO DE MINAS GERAIS,"-1,99290154311349E+016","-4,39454412460327E+016",RUA SANTA CATARINA,941,LOURDES,null,30170080,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
26859,26859,47,187.2399999999999,"-19.923064,-43.9574080999999",HOSPITAL FELICIO ROCHO,"-1,9922993767557E+016",-4395754337310790,AV DO CONTORNO,9530,BARRO PRETO,null,30110934,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
27049,27049,11,74.82000000000001,"-19.9242048,-43.9282781",HOSP DAS CLINICAS DA UNIV FED DE MINAS GERAIS EBSERH,-19817,-43956,AV ALFREDO BALENA,110,STA EFIGENIA,null,30130100,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
27278,27278,2,173.5,"-19.9270905,-43.9251339",CENTRO DE TOMOGRAFIA COMPUTADORIZADA DE MINAS GERAIS LTDA,-199281399,-439241018,FRANCISCO SALES,1428,SANTA EFIGENIA,E 1432,30150221,08:00,19:00,03 - ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE, - ,0
27618,27618,9,44.0,"-19.9054388,-43.8967424999999",UNIDADE DE PRONTO ATENDIMENTO LESTE,-199179907,-439114121,AVENIDA DOS ANDRADAS,7260,VERA CRUZ,null,30285255,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
27863,27863,285,1906.740000000001,"-19.8178475,-43.9490434",HOSPITAL RISOLETA TOLENTINO NEVES,"-1,98175422469485E+016",-4394853115081780,RUA DAS GABIROBAS,1,BAIRRO LARANJEIRAS,null,31744012,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
48305,48305,12,120.0,"-14.0751737,-46.3253902",POLICLINICA REGIONAL DE POSSE,-14.08,-46346,AV JUSCELINO KUBISTSCHECK DE OLIVEIRA,S/N,SETOR BUENO AIRES,null,73900000,null,null,03 - ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE, - ,0
50571,50571,5,55.0,"-1.3995404,-48.4402694",UPA MARAMBAIA,"-1,45729085637651E+016",-4850332975387570,RUA MARAVALHO BELO,S/N,MARAMBAIA,null,66623240,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
59218,59218,1,10.0,"-12.1532428,-45.0032471",POLICLINICA REGIONAL REGIAO DE SAUDE DE BARREIRAS,-121529123,-450048589,RUA LUIS PORTO PEDROSA,167,RECANTO DOS PASSAROS,null,47808027,07:00,18:00,03 - ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE, - ,0
86126,86126,2,22.0,"-16.7372044,-49.2232317",HOSPITAL DE CAMPANHA PARA O ENFRENTAMENTO AO CORONAVIRUS,"-16,7347055","-49,2273797",AV BELA VISTA,S/N,PARQUE ACALANTO,null,74860210,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
2001527,2001527,3,30.0,"-9.9507633,-67.8581818",POLICLINICA TUCUMA,-995085476277123,-6785816073417660,AVENIDA NOROESTE,486,TUCUMA,null,69919778,07:00,19:00,03 - ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE, - ,0
2004941,2004941,2,0.0,"-9.76475449999999,-36.6554943",I CENTRO DE SAUDE,"-9,7634512912648E+015",-3665305137634270,RUA MUNIZ FALCAO,27,SAO LUIZ,null,57301280,08:00,17:00,03 - ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE, - ,0
2005557,2005557,2,0.0,"-9.5418305,-35.7832275",CENTRO DE SAUDE TEREZA BARBOSA 7 DS,-9666,-35735,COJ EUSTAQUIO GOMES,S/N,CIDADE UNIVERSITARIA,null,57072452,08:00,17:00,03 - ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE, - ,0
2005913,2005913,1,0.0,"-9.6072574,-35.7601012",UNIDADE DE SAUDE DO PROGRAMA DA FAMILIA JOAO SAMPAIO 4 DS,"-9,6617615964086E+015",-3573483467102050,CONJ JOAO SAMPAIO QA01,S/N,TABULEIRO,null,57080000,08:00,17:00,03 - ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE, - ,0
2006197,2006197,485,4607.209999999999,"-9.53890749999999,-35.7920837",HOSPITAL UNIVERSITARIO PROF ALBERTO ANTUNES,"-9,56516176770726E+015",-3577768564224240,AV LOURIVAL MELO MOTA,S/N,TABULEIRO DOS MARTIN,null,57072900,null,null,"04 - ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE", - ,0
2007037,2007037,1,55.1,"-9.6676703,-35.7411806",SANTA CASA DE MISERICORDIA DE MACEIO,-96656174,-357413631,RUA BARAO DE MACEIO,346,CENTRO,null,57020360,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
2008793,2008793,5,55.0,"-10.1838542,-36.8359769",CENTRO DE SAUDE MARIA LAURA OTTO KUMMER SOUZA,"-1,01834107240008E+016","-3,68355220556259E+016",AVADEMARIO VIEIRA DANTAS,S/N,CENTRO,null,57290000,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
2009242,2009242,3,30.0,"-9.7947847,-35.8635696",HOSPITAL MUNICIPAL ANA ANITA GOMES FRAGOSO,-9133,-35748,AVENIDA IB GATTO FALCAO,S/N,PADRE CICERO,null,57980000,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
